N_Nos_Layer1;N_Nos_Layer2;N_Nos_Layer3;EPOCAS;MSE;RMSE;MAE;MAPE;Duracao
100;96;80;250;74167,78562;272,3376317;133,9088267;2,185653642;68,55001044
100;96;78;250;78501,42603;280,1810594;155,1864001;2,37950008;68,8826685
100;96;76;250;80667,91727;284,0209803;154,5817992;2,359762752;67,88824296
100;96;74;250;71888,29225;268,1199214;123,0039607;2,096028958;68,30174422
100;96;72;250;70872,59646;266,2190761;133,0567696;2,153405097;68,56017327
100;96;70;250;69155,908;262,9751091;121,3309067;2,068512913;68,7584362
100;96;68;250;72751,17841;269,7242637;127,0671405;2,121021971;67,71108437
100;96;66;250;71166,57261;266,7706367;122,0312322;2,082765934;69,2020154
100;96;64;250;67025,86339;258,8935368;128,2624276;2,101755071;66,6694181
100;96;62;250;75630,88432;275,0106986;136,0670613;2,261575978;66,76751876
100;96;60;250;62781,85392;250,5630737;93,11164259;1,832278566;67,60614061
100;96;58;250;74354,5594;272,6803246;142,7144216;2,254076549;68,23040128
100;96;56;250;66580,73046;258,0324213;90,19805263;1,842366402;67,28312445
100;96;54;250;68489,14399;261,7043064;117,1868216;2,034195894;68,81365633
100;96;52;250;70960,27176;266,3836927;126,1108535;2,110160711;68,21020579
100;96;50;250;62898,82323;250,796378;84,67971683;1,761466303;66,74360895
100;96;48;250;70313,75603;265,1674113;124,1483857;2,099901798;66,92272925
100;96;46;250;67842,84144;260,4665841;119,4915039;2,054249755;67,53543711
100;96;44;250;70876,849;266,2270629;123,960694;2,099228553;66,78242135
100;96;42;250;68562,285;261,8440089;123,170501;2,064012973;67,95577455
100;96;40;250;67454,48746;259,7200174;111,9744098;1,987549636;66,69509053
100;96;38;250;70078,97533;264,7243384;122,8441441;2,091338113;67,05251098
100;96;36;250;69394,37571;263,4281225;129,2070453;2,135456447;67,70435214
100;96;34;250;68377,15809;261,4902638;116,9260477;2,004819473;66,36925292
100;96;32;250;73008,45227;270,2007629;126,191202;2,12027241;65,95934248
100;96;30;250;62823,09004;250,6453471;107,374737;1,937348038;66,23916483
100;96;28;250;61979,54743;248,9569188;88,12615497;1,772166748;66,7889266
100;96;26;250;73999,30312;272,0281293;116,3395361;2,04809068;67,20881629
100;96;24;250;68219,88955;261,1893749;116,7741636;2,040169159;65,92674804
100;96;22;250;61179,7494;247,345405;86,85556712;1,776239;65,78458619
100;96;20;250;69031,16072;262,7378174;109,2172995;1,985296216;66,04865026
100;96;18;250;74512,54847;272,9698673;126,1896023;2,124698943;66,65493178
100;96;16;250;68572,2234;261,8629859;120,1724466;2,059570067;65,92357159
100;96;14;250;71636,32204;267,6496255;128,94309;2,132384543;65,81488585
100;96;12;250;76606,64694;276,779058;121,1362289;2,091840795;66,02282715
100;96;10;250;68133,4334;261,0238177;114,1574635;2,016473962;65,74573541
100;96;8;250;66245,62781;257,3822601;87,68836552;1,79571874;65,89251351
100;94;100;250;63014,12423;251,0261425;84,76252924;1,773330069;68,43257332
100;94;98;250;74267,57204;272,5207736;148,2010224;2,281723832;67,43129253
100;94;96;250;77240,95222;277,9225651;136,5223824;2,21189451;67,4454205
100;94;94;250;75064,44369;273,978911;136,3638306;2,209339118;67,86102605
100;94;92;250;66381,68722;257,6464384;108,1183913;1,952739211;68,02818704
100;94;90;250;73319,29673;270,7753621;136,9474731;2,209869033;68,09904742
100;94;88;250;68982,52302;262,6452418;133,0209751;2,147565232;68,2714622
100;94;86;250;76841,19593;277,2024458;117,9278059;2,05214675;68,97692132
