SK_PONTO;Best Params;N_Past_Vl;MSE;RMSE;MAE;MAPE;Duration
5;SVR-MLP{'C': 125550, 'epsilon': 0.001, 'gamma': 1e-08, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};2;4621647.687486053;2149.801778649849;831.4834451242441;10.534982342403145;14.163859367370605
5;SVR-MLP{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'};3;3715158.555595726;1927.474657575483;680.3645686388809;9.784923766695831;10.888258695602417
5;SVR-MLP{'C': 12550, 'epsilon': 0.001, 'gamma': 1e-08, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'};4;6845919.626790272;2616.470834309122;1839.4598076745588;14.313131700363954;15.552245378494263
5;SVR-MLP{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'};5;7063526.451222364;2657.7295669842642;1972.0132712582854;14.964933275570916;14.158506393432617
5;SVR-MLP{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'};6;3969904.294024355;1992.461867646243;800.137543496021;10.311488845763622;14.208492517471313
6;SVR-MLP{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-08, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'};1;398038.7093280978;630.9030902825709;297.73582909176184;7.245223766257888;15.698716878890991
6;SVR-MLP{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-07, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};2;347375.00580361806;589.3852778986069;216.73222975617546;6.378592159313371;13.433805704116821
6;SVR-MLP{'C': 125550, 'epsilon': 0.0001, 'gamma': 1e-08, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'};3;2725085.370399373;1650.7832596677777;1434.4018227736296;24.492769735928107;14.529451370239258
6;SVR-MLP{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-08, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'};4;696531.675525499;834.5847323822184;638.0583370882059;11.425366106407145;17.151787757873535
6;SVR-MLP{'C': 12550, 'epsilon': 0.001, 'gamma': 1e-08, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'};5;645758.6492357765;803.5910957917444;637.283471549661;11.273066079000026;16.082788944244385
6;SVR-MLP{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'};6;395752.45746959007;629.0885927034363;406.60812012547376;8.04697422974822;15.739965677261353
7;SVR-MLP{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'}-{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};1;9554897.61617141;3091.0997421906995;1845.4486655983128;22.284506026691727;12.881983995437622
7;SVR-MLP{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-07, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'};2;5098761.259531407;2258.0436797217644;1223.9484246628126;16.510111416013046;11.240860939025879
7;SVR-MLP{'C': 12550, 'epsilon': 0.001, 'gamma': 1e-08, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'};3;4504391.0311275525;2122.3550671665553;1246.9429431976032;16.565612832608906;12.862484455108643
7;SVR-MLP{'C': 12550, 'epsilon': 0.001, 'gamma': 1e-08, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'};4;5230145.738559759;2286.951188495233;1176.2249950707646;17.135016931066392;12.77028489112854
7;SVR-MLP{'C': 12550, 'epsilon': 0.001, 'gamma': 1e-08, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};5;4852699.108974361;2202.8842704450817;1064.4274133519002;16.618284205380725;15.295218706130981
7;SVR-MLP{'C': 12550, 'epsilon': 0.001, 'gamma': 1e-08, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'};6;4909995.346544329;2215.8509305782122;1360.0536228652472;17.174822747063022;15.441265344619751
8;SVR-MLP{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-07, 'kernel': 'rbf'}-{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'};1;83212.04484712923;288.4649802785933;127.90833842281882;4.5950589954458;11.186012744903564
8;SVR-MLP{'C': 125550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'};2;88982.90681373689;298.3000281825949;112.49700332423345;4.5985132275475085;13.120729923248291
8;SVR-MLP{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'};3;56823.105254868955;238.3759745756039;78.0035801916174;3.335345195134502;13.115242958068848
8;SVR-MLP{'C': 12550, 'epsilon': 0.001, 'gamma': 1e-08, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};4;65955.23875458149;256.8175203419375;129.65830752623378;4.129628203325206;14.125027894973755
8;SVR-MLP{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'}-{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};5;66819.94361002705;258.4955388590431;54.12846692437324;3.155622594252363;12.841014385223389
8;SVR-MLP{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};6;63205.42453996898;251.40689039874977;115.0192812811215;3.85388287463417;12.738229751586914
9;SVR-MLP{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};1;731900.9340675512;855.5120887910066;95.57886273370696;4.399966204088964;6.785564184188843
9;SVR-MLP{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'};2;788820.5659389454;888.155710412845;111.66287637068126;4.531527476640611;8.496291399002075
9;SVR-MLP{'C': 125550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};3;757353.3633768624;870.2605146603299;215.38993730742914;5.2304880758452645;10.341054439544678
9;SVR-MLP{'C': 125550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'};4;1376756.8010549312;1173.3528033183077;681.7578306640135;8.226583764937798;12.104719161987305
