SK_PONTO;freq;model;N_Past_Vl;MSE;RMSE;MAE;MAPE;Duration;Best_Params;SVR-LSTM;SVR-MLP;SVR;LSTM;ARIMA1;ARIMA2;MLP
5;3-Week;SVR-LSTM;5;318342955,83;17842,17;2401,2;14,49;7,7;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);14,49;999,0;999,0;999,0;999,0;999,0;999,0
5;3-Week;SVR-LSTM;6;321277445,65;17924,21;2725,42;14,7;8,2;SVR-LSTM{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);14,7;999,0;999,0;999,0;999,0;999,0;999,0
5;3-Week;SVR-MLP;1;311161912,49;17639,78;3573,98;14,07;7,1;{'C': 12550, 'epsilon': 0,0001, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;14,07;999,0;999,0;999,0;999,0;999,0
5;3-Week;SVR-MLP;2;281557518,98;16779,68;3329,33;13,52;9,3;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;13,52;999,0;999,0;999,0;999,0;999,0
5;3-Week;SVR-MLP;3;284739384,28;16874,22;2830,53;13,51;9,4;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;13,51;999,0;999,0;999,0;999,0;999,0
5;3-Week;SVR-MLP;4;303173504,02;17411,88;2685,21;14,11;10,6;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;14,11;999,0;999,0;999,0;999,0;999,0
5;3-Week;SVR-MLP;5;317940450,11;17830,88;2411,49;14,48;10,9;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;14,48;999,0;999,0;999,0;999,0;999,0
5;3-Week;SVR-MLP;6;322768341,33;17965,75;2822,36;14,77;10,3;{'C': 12550, 'epsilon': 0,0001, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;14,77;999,0;999,0;999,0;999,0;999,0
5;3-Week;SVR;1;319511326,98;17874,88;3675,49;14,24;0,2;{'C': 12550, 'epsilon': 0,0001, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;999,0;14,24;999,0;999,0;999,0;999,0
5;3-Week;SVR;2;316495779,23;17790,33;3488,71;14,15;0,2;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;999,0;14,15;999,0;999,0;999,0;999,0
5;3-Week;SVR;3;313965310,49;17719,07;2918,91;13,98;0,2;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;999,0;13,98;999,0;999,0;999,0;999,0
5;3-Week;SVR;4;319850417,42;17884,36;2706,44;14,22;0,2;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;999,0;14,22;999,0;999,0;999,0;999,0
5;3-Week;SVR;5;302287117,58;17386,41;2696,11;13,91;0,2;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;999,0;13,91;999,0;999,0;999,0;999,0
5;3-Week;SVR;6;300850175,01;17345,03;3023,37;13,96;0,2;{'C': 12550, 'epsilon': 0,0001, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;999,0;13,96;999,0;999,0;999,0;999,0
6;3-Week;ARIMA1;1;54155812,56;7359,06;4522,18;12,03;0,7;ARIMA(1,0,1)(0,0,0);999,0;999,0;999,0;999,0;12,03;999,0;999,0
6;3-Week;ARIMA1;2;33250438,78;5766,32;2024,59;4,33;0,5;ARIMA(0,0,1)(0,0,0);999,0;999,0;999,0;999,0;4,33;999,0;999,0
6;3-Week;ARIMA1;3;23248693,07;4821,69;1507,73;3,46;0,3;ARIMA(0,0,0)(0,0,0);999,0;999,0;999,0;999,0;3,46;999,0;999,0
6;3-Week;ARIMA1;4;23043158,61;4800,33;1502,27;3,45;0,4;ARIMA(0,0,0)(0,0,0);999,0;999,0;999,0;999,0;3,45;999,0;999,0
