SK_PONTO;freq;model;N_Past_Vl;MSE;RMSE;MAE;MAPE;Duration;Best_Params;SVR-LSTM;SVR-MLP;SVR;LSTM;ARIMA1;ARIMA2;MLP
13;2-Day;ARIMA2;5;180717,27;425,11;328,13;9,04;121,0;ARIMA(1,1,1)(0,0,0);999,0;999,0;999,0;999,0;999,0;9,04;999,0
13;2-Day;ARIMA2;6;185787,08;431,03;332,22;9,13;154,0;ARIMA(2,1,1)(0,0,0);999,0;999,0;999,0;999,0;999,0;9,13;999,0
13;2-Day;LSTM;1;109322309,82;10455,73;2867,04;28,72;9,5; LSTM(100,96,90);999,0;999,0;999,0;28,72;999,0;999,0;999,0
13;2-Day;LSTM;2;125810357,89;11216,52;2582,08;26,31;9,7; LSTM(100,96,90);999,0;999,0;999,0;26,31;999,0;999,0;999,0
13;2-Day;LSTM;3;121100378,31;11004,56;2730,38;28,68;9,6; LSTM(100,96,90);999,0;999,0;999,0;28,68;999,0;999,0;999,0
13;2-Day;LSTM;4;115063795,79;10726,78;2859,39;30,52;9,6; LSTM(100,96,90);999,0;999,0;999,0;30,52;999,0;999,0;999,0
13;2-Day;LSTM;5;137726681,77;11735,7;3083,42;33,7;9,7; LSTM(100,96,90);999,0;999,0;999,0;33,7;999,0;999,0;999,0
13;2-Day;LSTM;6;161849309,21;12722,0;3137,66;36,73;9,4; LSTM(100,96,90);999,0;999,0;999,0;36,73;999,0;999,0;999,0
13;2-Day;MLP;1;111480720,3;10558,44;2843,47;25,92;30,5;{'activation': 'identity', 'alpha': 0,0001, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;25,92
13;2-Day;MLP;2;112668559,43;10614,54;2544,16;26,61;33,0;{'activation': 'identity', 'alpha': 0,0001, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;26,61
13;2-Day;MLP;3;108187700,64;10401,33;2836,77;26,76;27,4;{'activation': 'identity', 'alpha': 0,01, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;26,76
13;2-Day;MLP;4;124770978,82;11170,09;2864,05;29,17;37,6;{'activation': 'identity', 'alpha': 0,0001, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;29,17
13;2-Day;MLP;5;116753931,1;10805,27;3090,44;29,65;32,2;{'activation': 'identity', 'alpha': 0,0001, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;29,65
13;2-Day;MLP;6;135533683,63;11641,89;3359,17;31,48;32,6;{'activation': 'identity', 'alpha': 0,01, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;31,48
13;2-Day;SVR-LSTM;1;476659361,87;21832,53;4710,66;78,37;17,9;SVR-LSTM{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-07, 'kernel': 'rbf'}-LSTM(100,96,90);78,37;999,0;999,0;999,0;999,0;999,0;999,0
13;2-Day;SVR-LSTM;2;523147849,83;22872,43;4043,44;86,31;15,3;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);86,31;999,0;999,0;999,0;999,0;999,0;999,0
13;2-Day;SVR-LSTM;3;826460458,62;28748,23;7022,58;109,88;13,5;SVR-LSTM{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'}-LSTM(100,96,90);109,88;999,0;999,0;999,0;999,0;999,0;999,0
13;2-Day;SVR-LSTM;4;768019008,13;27713,16;5384,47;106,49;13,1;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-05, 'kernel': 'rbf'}-LSTM(100,96,90);106,49;999,0;999,0;999,0;999,0;999,0;999,0
13;2-Day;SVR-LSTM;5;802732128,92;28332,53;6471,73;108,83;15,2;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-05, 'kernel': 'rbf'}-LSTM(100,96,90);108,83;999,0;999,0;999,0;999,0;999,0;999,0
13;2-Day;SVR-LSTM;6;813307024,8;28518,54;6730,63;109,65;13,6;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-06, 'kernel': 'rbf'}-LSTM(100,96,90);109,65;999,0;999,0;999,0;999,0;999,0;999,0
13;2-Day;SVR-MLP;1;475730646,45;21811,25;4672,32;78,3;23,9;SVR-MLP{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-07, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;78,3;999,0;999,0;999,0;999,0;999,0
13;2-Day;SVR-MLP;2;529650787,12;23014,14;3852,29;86,74;24,3;SVR-MLP{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;86,74;999,0;999,0;999,0;999,0;999,0
13;2-Day;SVR-MLP;3;816411645,31;28572,92;6733,52;109,24;28,3;SVR-MLP{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;109,24;999,0;999,0;999,0;999,0;999,0
13;2-Day;SVR-MLP;4;818404328,07;28607,77;6884,46;109,7;26,0;SVR-MLP{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-05, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;109,7;999,0;999,0;999,0;999,0;999,0
13;2-Day;SVR-MLP;5;820892457,49;28651,22;6995,2;110,01;13,0;SVR-MLP{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-05, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;110,01;999,0;999,0;999,0;999,0;999,0
13;2-Day;SVR-MLP;6;824079148,18;28706,78;7035,41;110,36;13,2;SVR-MLP{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-06, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'};999,0;110,36;999,0;999,0;999,0;999,0;999,0
13;2-Day;SVR;1;453505873,12;21295,68;4013,63;77,28;12,1;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-07, 'kernel': 'rbf'};999,0;999,0;77,28;999,0;999,0;999,0;999,0
13;2-Day;SVR;2;521693474,77;22840,61;3442,37;86,15;18,6;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;999,0;86,15;999,0;999,0;999,0;999,0
13;2-Day;SVR;3;808241963,17;28429,6;6647,97;108,25;11,2;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-05, 'kernel': 'rbf'};999,0;999,0;108,25;999,0;999,0;999,0;999,0
13;2-Day;SVR;4;807534557,12;28417,15;6733,83;108,4;9,5;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-05, 'kernel': 'rbf'};999,0;999,0;108,4;999,0;999,0;999,0;999,0
13;2-Day;SVR;5;807748482,59;28420,92;6734,91;108,42;8,7;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-05, 'kernel': 'rbf'};999,0;999,0;108,42;999,0;999,0;999,0;999,0
13;2-Day;SVR;6;808775248,17;28438,97;6778,81;108,48;8,0;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-06, 'kernel': 'rbf'};999,0;999,0;108,48;999,0;999,0;999,0;999,0
